date,site,sample,shallow/deep,grass,temp,ph,sal,par,ent1,ent2,ent3,avgent,notes
8/26/21,GG,A1,s,yes,,,,,32,31,30,31,
8/26/21,GG,A2,s,yes,,,,,21,23,17,20.33333333,
8/26/21,GG,A2,d,yes,,,,,20,9,7,12,
8/26/21,GG,A3,s,yes,,,,,21,23,17,20.33333333,
8/26/21,GG,A3,d,yes,,,,,15,4,11,10,
8/26/21,GG,A4,s,yes,,,,,14,23,15,17.33333333,
8/26/21,GG,A4,d,yes,,,,,9,13,15,12.33333333,
8/26/21,GG,A5,s,yes,,,,,12,17,9,12.66666667,
8/26/21,GG,A5,d,yes,,,,,16,14,11,13.66666667,
8/26/21,GG,A6,s,yes,,,,,15,18,23,18.66666667,
8/26/21,GG,A6,d,yes,,,,,10,18,11,13,
8/26/21,GG,D1,s,no,,,,,18,25,31,24.66666667,
8/26/21,GG,D2,s,no,                 ,,,,7,18,13,12.66666667,
8/26/21,GG,D2,d,no,,,,,20,21,22,21,
8/26/21,GG,D3,s,no,,,,,13,20,17,16.66666667,
8/26/21,GG,D3,d,no,,,,,17,20,20,19,
8/26/21,GG,D4,s,no,,,,,18,18,22,19.33333333,
8/26/21,GG,D4,d,no,,,,,14,10,7,10.33333333,
8/26/21,GG,D5,s,no,,,,,5,13,14,10.66666667,
8/26/21,GG,D5,d,no,,,,,17,17,17,17,
8/26/21,GG,D6,s,no,,,,,9,12,8,9.666666667,
8/26/21,GG,D6,d,no,,,,,12,15,17,14.66666667,
